"doc_id","participant_id","session_id","condition","prolific_pid","prolific_study_id","prolific_session_id","event","ts_iso","started_at_iso","submitted_at_iso","time_to_complete_ms","total_edits","back_clicks","next_clicks","review_edit_cycles","completion_code","completion_code_issued_at_iso","legalName","dba","address","formationState","formationDate","ein","website","social","businessType","specialCategory","intendedUse","monthlyVolume","monthlyCount","avgValue","customerType","customerGeo","description","tlx_mental","tlx_temporal","tlx_effort","tlx_frustration","tlx_performance","tlx_physical","effort_single_1_7","umux_meets_requirements_1_7","umux_easy_to_use_1_7","trust_automation_1_7","perceived_control_1_7","screen_visits_json","user_agent"
"0B91ANraawg3igrjNME3","P93202","P93202_1768877667236","B","","","","submit_for_review","2026-01-20T02:57:49.958Z","2026-01-20T02:54:27.237Z","2026-01-20T02:57:49.956Z",202719,0,0,7,0,"","","Connect IQ Labs Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/connectiq-labs-inc-dba-miles","Technology Services","SaaS","Customer rewards and incentives","$10,000 – $50,000","50–500","$50–$250","Consumers","US only","A technology company offering consumer rewardsand sustainable travel incentives.","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1768877667237,""exit_ts"":1768877862926,""dwell_ms"":195689},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1768877862926,""exit_ts"":1768877863842,""dwell_ms"":916},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1768877863842,""exit_ts"":1768877864815,""dwell_ms"":973},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1768877864815,""exit_ts"":1768877865339,""dwell_ms"":524},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1768877865339,""exit_ts"":1768877866455,""dwell_ms"":1116},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1768877866455,""exit_ts"":1768877867451,""dwell_ms"":996},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1768877867451,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"0RHRnAz6b01ePGxAqVih","P66684","P66684_1769362410423","A","","","","survey_completed","2026-01-25T17:34:07.564Z","2026-01-25T17:33:30.423Z","2026-01-25T17:33:58.745Z",28322,62,0,8,0,"LGS694","2026-01-25T17:34:07.562Z","ehhwejwq","eqlwe","qkqe","Arizona","eweweq","ewqewe","ewqewe","ewqewqewqe","Professional Services","E-commerce","Partner payouts","Less than $10,000","500–5,000","$250–$1,000","Mid-market","US + international","eqwewewq",10,10,10,10,17,16,6,7,7,6,6,"[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769362410423,""exit_ts"":1769362413870,""dwell_ms"":3447},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769362413870,""exit_ts"":1769362421606,""dwell_ms"":7736},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769362421606,""exit_ts"":1769362424607,""dwell_ms"":3001},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769362424607,""exit_ts"":1769362428850,""dwell_ms"":4243},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769362428850,""exit_ts"":1769362435041,""dwell_ms"":6191},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769362435041,""exit_ts"":1769362436814,""dwell_ms"":1773},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769362436814,""exit_ts"":1769362439438,""dwell_ms"":2624},{""screen_index"":7,""screen_name"":""Post-Task Survey"",""enter_ts"":1769362439438,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"5YoyEozHgjJRXmRzJKP0","P83953","P83953_1769363640471","A","63527516fe1e89095d5b670f","697654f6246023549d653533","697658b3370aef16a931e60b","submit_for_review","2026-01-25T17:57:13.438Z","2026-01-25T17:54:00.471Z","2026-01-25T17:57:13.437Z",192966,299,0,7,0,"","","Connect Iq Labs, Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 96054, USA","California","05/2016","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769363640471,""exit_ts"":1769363656930,""dwell_ms"":16459},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769363656930,""exit_ts"":1769363716379,""dwell_ms"":59449},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769363716379,""exit_ts"":1769363761288,""dwell_ms"":44909},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769363761288,""exit_ts"":1769363780630,""dwell_ms"":19342},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769363780630,""exit_ts"":1769363809287,""dwell_ms"":28657},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769363809287,""exit_ts"":1769363831634,""dwell_ms"":22347},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769363831634,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"5xofCE6buf6WGCTSRYcJ","P50713","P50713_1769363101165","A","696b79b6a60c03d8d365279b","697654f6246023549d653533","6976568ab962a0ea37edb8f4","survey_completed","2026-01-25T17:56:18.898Z","2026-01-25T17:45:01.166Z","2026-01-25T17:55:16.934Z",615768,331,0,8,0,"76GZZV","2026-01-25T17:56:18.897Z","Connect Iq Labs, Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","05/2016","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.",3,12,10,13,5,4,4,5,5,4,5,"[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769363101166,""exit_ts"":1769363250229,""dwell_ms"":149063},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769363250229,""exit_ts"":1769363545206,""dwell_ms"":294977},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769363545206,""exit_ts"":1769363595597,""dwell_ms"":50391},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769363595597,""exit_ts"":1769363616711,""dwell_ms"":21114},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769363616711,""exit_ts"":1769363636118,""dwell_ms"":19407},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769363636118,""exit_ts"":1769363660318,""dwell_ms"":24200},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769363660318,""exit_ts"":1769363717595,""dwell_ms"":57277},{""screen_index"":7,""screen_name"":""Post-Task Survey"",""enter_ts"":1769363717595,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"9MFi0HOaIe593GM1Jh1B","P68146","P68146_1769364521658","C","6972bdd194f9db6a1cc2b1c7","697654f6246023549d653533","69765c27e8ff5503b8416f01","submit_for_review","2026-01-25T18:14:17.977Z","2026-01-25T18:08:41.659Z","2026-01-25T18:14:17.973Z",336314,49,1,8,0,"","","Connect IQ Labs Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769364521659,""exit_ts"":1769364602140,""dwell_ms"":80481},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364602140,""exit_ts"":1769364607372,""dwell_ms"":5232},{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769364607372,""exit_ts"":1769364622689,""dwell_ms"":15317},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364622689,""exit_ts"":1769364640922,""dwell_ms"":18233},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364640923,""exit_ts"":1769364724905,""dwell_ms"":83982},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769364724905,""exit_ts"":1769364757590,""dwell_ms"":32685},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769364757590,""exit_ts"":1769364793889,""dwell_ms"":36299},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769364793889,""exit_ts"":1769364823756,""dwell_ms"":29867},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769364823756,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"C32EbCD43EQL2WfcSsQi","P73946","P73946_1769362958364","B","697171911e8c97f9701b29f0","697654f6246023549d653533","6976560553a4af442c6e29ae","submit_for_review","2026-01-25T17:47:14.712Z","2026-01-25T17:42:38.368Z","2026-01-25T17:47:14.710Z",276342,21,0,7,0,"","","Connect IQ Labs, Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769362958366,""exit_ts"":1769363038274,""dwell_ms"":79908},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769363038274,""exit_ts"":1769363123818,""dwell_ms"":85544},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769363123818,""exit_ts"":1769363175928,""dwell_ms"":52110},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769363175928,""exit_ts"":1769363189790,""dwell_ms"":13862},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769363189790,""exit_ts"":1769363217409,""dwell_ms"":27619},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769363217409,""exit_ts"":1769363230962,""dwell_ms"":13553},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769363230962,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"C5NrU1h6qURE2CbaDKbL","P99443","P99443_1769364481639","B","69726dd7981e0339e1051cde","697654f6246023549d653533","69765bc46297182c2207da17","submit_for_review","2026-01-25T18:15:45.950Z","2026-01-25T18:08:01.640Z","2026-01-25T18:15:45.945Z",464305,46,0,7,0,"","","Connect IQ Labs Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769364481640,""exit_ts"":1769364530387,""dwell_ms"":48747},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364530387,""exit_ts"":1769364560652,""dwell_ms"":30265},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364560652,""exit_ts"":1769364692254,""dwell_ms"":131602},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769364692255,""exit_ts"":1769364731326,""dwell_ms"":39071},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769364731326,""exit_ts"":1769364843479,""dwell_ms"":112153},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769364843479,""exit_ts"":1769364886978,""dwell_ms"":43499},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769364886978,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"CFKUiobqpLDhMW59wtwa","P73946","P73946_1769362958364","B","697171911e8c97f9701b29f0","697654f6246023549d653533","6976560553a4af442c6e29ae","survey_completed","2026-01-25T17:47:56.474Z","2026-01-25T17:42:38.368Z","2026-01-25T17:47:14.710Z",276342,21,0,8,0,"V2WNYR","2026-01-25T17:47:56.472Z","Connect IQ Labs, Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.",1,0,2,0,20,0,1,5,7,2,7,"[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769362958366,""exit_ts"":1769363038274,""dwell_ms"":79908},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769363038274,""exit_ts"":1769363123818,""dwell_ms"":85544},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769363123818,""exit_ts"":1769363175928,""dwell_ms"":52110},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769363175928,""exit_ts"":1769363189790,""dwell_ms"":13862},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769363189790,""exit_ts"":1769363217409,""dwell_ms"":27619},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769363217409,""exit_ts"":1769363230962,""dwell_ms"":13553},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769363230962,""exit_ts"":1769363235053,""dwell_ms"":4091},{""screen_index"":7,""screen_name"":""Post-Task Survey"",""enter_ts"":1769363235053,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"ETyfymHbJT0gcc15dWC7","P74183","P74183_1769363997044","C","5fbcba46c7da0018a9042e35","697654f6246023549d653533","69765a13b7aa938df9bcba68","submit_for_review","2026-01-25T18:02:49.750Z","2026-01-25T17:59:57.045Z","2026-01-25T18:02:49.748Z",172703,10,2,9,0,"","","Connect Iq Labs, Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/connectiq-labs-inc-dba-miles","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.","","","","","","","","","","","","[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769363997045,""exit_ts"":1769364012496,""dwell_ms"":15451},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364012496,""exit_ts"":1769364043696,""dwell_ms"":31200},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364043696,""exit_ts"":1769364054874,""dwell_ms"":11178},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769364054874,""exit_ts"":1769364072641,""dwell_ms"":17767},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364072641,""exit_ts"":1769364072832,""dwell_ms"":191},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364072832,""exit_ts"":1769364088931,""dwell_ms"":16099},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364088931,""exit_ts"":1769364094392,""dwell_ms"":5461},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769364094392,""exit_ts"":1769364113144,""dwell_ms"":18752},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769364113144,""exit_ts"":1769364152232,""dwell_ms"":39088},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769364152232,""exit_ts"":1769364167716,""dwell_ms"":15484},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769364167716,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
"EpWvQG93Tp6DDB2A2PVu","P68146","P68146_1769364521658","C","6972bdd194f9db6a1cc2b1c7","697654f6246023549d653533","69765c27e8ff5503b8416f01","survey_completed","2026-01-25T18:15:58.259Z","2026-01-25T18:08:41.659Z","2026-01-25T18:14:17.973Z",336314,49,1,9,0,"DQX5XC","2026-01-25T18:15:58.257Z","Connect IQ Labs Inc","Miles","4064 Rivermark Parkway, Santa Clara, CA 95054, USA","California","2016-05-02","81-1973626","https://www.getmiles.com","https://www.linkedin.com/company/getmilesapp/","Technology Services","None","Customer rewards and incentives","$50,000 – $250,000","5,000+","<$50","Consumers","US + international","A technology company offering consumer rewards and sustainable travel incentives.",5,8,5,0,0,2,2,4,6,4,5,"[{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769364521659,""exit_ts"":1769364602140,""dwell_ms"":80481},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364602140,""exit_ts"":1769364607372,""dwell_ms"":5232},{""screen_index"":0,""screen_name"":""Business Verification & Reference"",""enter_ts"":1769364607372,""exit_ts"":1769364622689,""dwell_ms"":15317},{""screen_index"":1,""screen_name"":""Company Identity"",""enter_ts"":1769364622689,""exit_ts"":1769364640922,""dwell_ms"":18233},{""screen_index"":2,""screen_name"":""Business Identifiers & Online Presence"",""enter_ts"":1769364640923,""exit_ts"":1769364724905,""dwell_ms"":83982},{""screen_index"":3,""screen_name"":""Business Classification"",""enter_ts"":1769364724905,""exit_ts"":1769364757590,""dwell_ms"":32685},{""screen_index"":4,""screen_name"":""Operational & Risk Context"",""enter_ts"":1769364757590,""exit_ts"":1769364793889,""dwell_ms"":36299},{""screen_index"":5,""screen_name"":""Business Description"",""enter_ts"":1769364793889,""exit_ts"":1769364823756,""dwell_ms"":29867},{""screen_index"":6,""screen_name"":""Review & Submit"",""enter_ts"":1769364823756,""exit_ts"":1769364858784,""dwell_ms"":35028},{""screen_index"":7,""screen_name"":""Post-Task Survey"",""enter_ts"":1769364858784,""exit_ts"":null,""dwell_ms"":null}]","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"
